file,domains_detected,class,target_action
"src/hooks/useKhatamTarget.ts","pages|quran","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useManasikGuides.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useMasterData.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useMealTracking.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useMembershipConfig.ts","settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useNotificationPreferences.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useOfflineManager.ts","prayer","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useOlahraga.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useOrderNotifications.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useOrderStatusHistory.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/usePages.ts","pages","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/usePlatformConfig.ts","whatsapp|settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/usePrayerCheckIn.ts","prayer","non-core","Retain Supabase Muslim-app domain; document ownership"
"src/hooks/usePrayers.ts","prayer","non-core","Retain Supabase Muslim-app domain; document ownership"
"src/hooks/usePremiumConfig.ts","settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/usePremiumSubscription.ts","subscriptions|users|settings","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/hooks/useProductReviews.ts","shop|reviews","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/usePublicPaymentConfig.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/usePublicReviews.ts","travels|reviews","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/hooks/useQuranAdmin.ts","quran","non-core","Retain Supabase Muslim-app domain; document ownership"
"src/hooks/useQuranLocal.ts","quran","non-core","Retain Supabase Muslim-app domain; document ownership"
"src/hooks/useQuranTips.ts","quran","non-core","Retain Supabase Muslim-app domain; document ownership"
"src/hooks/useQuranTracking.ts","quran","non-core","Retain Supabase Muslim-app domain; document ownership"
"src/hooks/useRamadhanDashboard.ts","quran","non-core","Retain Supabase Muslim-app domain; document ownership"
"src/hooks/useRealtimeOrders.ts","shop","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useReviews.ts","travels|reviews","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/hooks/useSedekah.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useSeller.ts","memberships|whatsapp|shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/hooks/useSellerOrders.ts","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/hooks/useShopAdmin.ts","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/hooks/useShopCart.ts","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/hooks/useShopChat.ts","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/hooks/useShopOrders.ts","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/hooks/useShopProducts.ts","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/hooks/useShopSellers.ts","shop","non-core","Retain or move to separate commerce service; not Core travel source of truth"
"src/hooks/useWhatsAppReminder.ts","whatsapp","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/hooks/useWishlist.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/integrations/supabase/client.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/integrations/supabase/types.ts","bookings|departures|packages|manifest|memberships|subscriptions|travels|whatsapp|shop|pages|quran|prayer|reviews|documents|analytics|settings","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/lib/coreApi.ts","bookings|payments|departures|packages|manifest|memberships|travels|agents|users|whatsapp|reviews|documents|analytics|settings","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/lib/supabase-helpers.ts","travels","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/lib/supabase.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/pages/AgentPublicProfile.tsx","departures|packages|travels|settings","core-candidate","Migrate reads/commands to Core API; remove direct table mutation"
"src/pages/Auth.tsx","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/pages/DynamicSlugHandler.tsx","pages|settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/pages/PageDetail.tsx","pages|settings","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/pages/ResetPassword.tsx","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/pages/StorePage.tsx","whatsapp|shop","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
"src/supabaseConfig.ts","","non-core","Retain Supabase only if explicitly approved as Muslim-app/non-Core domain; otherwise migrate"
